id,latitud,longitud
4037,41.396867,2.194351
1293,41.3897351381,2.1130065184
3598,51.5239752,-0.1050718
3821,41.396867,2.194351
3635,55.6817704034,12.5937652588
3638,55.6824669,12.5931143
3740,45.7849682,4.7649036
3613,40.5808454144,19.4990158081
3457,41.3980493,2.1950796
1320,37.7790593782,-122.398933961
3652,55.6825297,12.5930949
3571,55.7423709,37.6096249
3668,38.340158325,-76.4376568794
3880,41.4019328934,2.12187270956
41,41.40842,2.19994
3592,51.5239978,-0.1050985
2053,40.4530335822,-3.7263661623
3385,52.5277493737,13.4024190903
1290,38.6446264,-121.2721718
3599,51.5239928,-0.1050999
3594,51.5239947,-0.1050568
4210,-21.2816967013,55.5551147461
2581,47.3809335,-122.2348431
3698,51.4515148,5.4822813
3588,51.5239347498,-0.105075538158
4251,45.7849762,4.7648919
3301,41.3862036,2.175894
2560,51.634294453,4.88664150238
3573,55.7423523,37.6097451
2574,58.3776252,26.7290063
4160,51.2443753491,-0.59042930603
3515,46.4605507646,6.84986829758
3584,55.7423821,37.6096334
3395,32.8839299925,-117.242907286
3595,51.5239792,-0.1050666
4019,41.3828577,2.1816352
3753,41.0501517,-73.7036545
3731,52.3728054,4.9003694
3739,45.7849814,4.7649245
3748,52.372878,4.900368
3412,50.8389493,4.3744098
1319,45.7518003345,6.28354668617
3822,41.3966188935,2.19444420881
3648,55.6825093,12.5930409
3514,46.4590171935,6.84974491596
2380,37.4449168,127.1388684
1994,53.4051316138,-2.97039091587
3645,11.0032712,-74.8258159
3681,44.6903185291,10.5592775345
3318,41.3965669,2.1944952
3799,41.3961094967,2.20042989356
3434,54.9926837675,-1.56945705414
3585,51.5240782696,-0.104734897614
3644,39.6108648,19.9199253
3622,46.2536509461,6.07440948486
3590,51.5239414252,-0.105054080486
1651,55.88431,-4.280606
3939,42.506285,1.521801
1077,53.855143383,-0.433560311794
3659,-33.4371625636,-70.6432163715
3517,31.0953957,121.4833618
3525,-33.4112439079,-70.5792510509
2339,37.7870067,-122.4039218
1870,40.45214,-3.72774
3316,59.3479684,26.3602769
3636,55.6824773,12.5931647
3482,51.050386,3.7221545
4052,41.4021366534,2.12185090656
3676,35.7521894294,51.3685727119
3371,32.7140053006,-117.151347399
4185,50.1234453,8.6892978
3036,35.921243,14.48134
3769,41.396726947,2.19468533993
3096,57.1633828464,-2.09815263748
4104,-23.6388630533,-70.394320786
777,41.2888356263,2.09371089935
1070,51.475315613,-1.44632220268
691,37.3860517,-122.0838511
3631,42.3694464,-71.0786989
3823,41.396867,2.194351
3667,51.2433596,-0.5931944
3110,53.0763158591,158.653736115
3672,39.4999346207,19.8585176468
3546,41.3891732499,2.17097997665
2107,40.4365689003,-3.67619276047
4271,41.4018195788,2.15644936465
3714,52.0490503,6.1125612
594,47.7047222,-117.08
2622,53.4626569249,-2.23830342293
3770,41.3965378134,2.19478726387
3671,56.1720509,10.1892143
4070,51.5965336,-0.1469141
3678,53.2498736,10.402798
4201,51.451524,5.4822508
3176,-33.4488276859,-70.6263613701
3691,48.868879,2.395291
3669,56.1720539,10.1892761
1000008,41.3964814757,2.19054937363
3721,-0.2157585,-78.433023
4109,-23.6426959,-70.3904805
2368,46.636654,16.039174
3355,52.5374542156,13.3840588666
2363,-36.7944534,174.6584473
3051,40.4529264,-3.7260029
3909,41.3843292,2.1116123
3397,54.992523739,-1.56980037689
4127,41.3768907,2.1905232
3813,42.167019,-76.8205119
3700,48.1009294198,-1.73115670681
3737,41.3669859825,2.1844124794
3369,55.8483886,-4.5308423
3744,45.7849662,4.7649067
3743,45.7849417,4.7649439
3557,55.866877537,-4.27019476891
4211,-21.1405485823,55.4764080048
3812,-33.4490861,-70.6279059
2474,51.5280098683,-0.0765985250473
3190,18.2796845087,-65.8635628223
